stop,stop_name,stop_lat,stop_lon,geometry
ABRANTES,ABRANTES,40.38083,-3.7279,POINT (438212.94974320335 4470281.298691018)
ACACIAS,ACACIAS,40.40387,-3.70664,POINT (440038.0386002669 4472824.081506895)
AEROPUERTO T-4,AEROPUERTO T-4,40.49177,-3.59325,POINT (449725.3543943269 4482510.214279061)
AEROPUERTO T1-T2-T3,AEROPUERTO T1-T2-T3,40.46864,-3.56954,POINT (451718.0875145042 4479929.53686119)
ALAMEDA DE OSUNA,ALAMEDA DE OSUNA,40.45779,-3.58752,POINT (450185.8364837028 4478735.175506614)
ALCORCON CENTRAL,ALCORCON CENTRAL,40.35008,-3.83178,POINT (429363.01282946556 4466945.834731674)
ALFONSO XIII,ALFONSO XIII,40.44825,-3.66791,POINT (443361.73902693315 4477724.691778072)
ALMENDRALES,ALMENDRALES,40.38409,-3.69788,POINT (440764.0435430483 4470622.61294777)
ALONSO CANO,ALONSO CANO,40.43838,-3.69925,POINT (440695.43625497236 4476649.692573414)
ALONSO DE MENDOZA,ALONSO DE MENDOZA,40.30081,-3.73664,POINT (437397.1307825855 4461405.359672914)
ALONSO MARTINEZ,ALONSO MARTINEZ,40.42853,-3.69643,POINT (440925.9874537213 4475554.454234507)
ALSACIA,ALSACIA,40.41829,-3.62351,POINT (447103.3778706546 4474371.6140864)
ALTO DE EXTREMADURA,ALTO DE EXTREMADURA,40.40993,-3.73894,POINT (437302.82060880517 4473519.151018487)
ALTO DEL ARENAL,ALTO DEL ARENAL,40.38977,-3.64522,POINT (445238.4494854115 4471219.140986627)
ALUCHE,ALUCHE,40.38563,-3.7608,POINT (435424.824565514 4470837.601341016)
ALVARADO,ALVARADO,40.45033,-3.70331,POINT (440361.6610877043 4477978.877718021)
ANTON MARTIN,ANTON MARTIN,40.41246,-3.69937,POINT (440662.4844918196 4473772.660017175)
ANTONIO MACHADO,ANTONIO MACHADO,40.47022,-3.71769,POINT (439160.22184683057 4480196.487888256)
ARGANDA DEL REY,ARGANDA DEL REY,40.30367,-3.44752,POINT (461969.51839099 4461558.5756449215)
ARGANZUELA-PLANETARIO,ARGANZUELA-PLANETARIO,40.3931,-3.68864,POINT (441556.1287481369 4471616.565123234)
ARGÜELLES,ARGÜELLES,40.43053,-3.71596,POINT (439271.1591885559 4475789.696132698)
ARROYO CULEBRO,ARROYO CULEBRO,40.28874,-3.75682,POINT (435670.68493948947 4460080.077688562)
ARROYOFRESNO,ARROYOFRESNO,40.4909,-3.72604,POINT (438471.2571082746 4482497.774816867)
ARTILLEROS,ARTILLEROS,40.40522,-3.64181,POINT (445540.3176785748 4472931.969022433)
ARTURO SORIA,ARTURO SORIA,40.45583,-3.65618,POINT (444362.6933265859 4478558.615430932)
ASCAO,ASCAO,40.43021,-3.64106,POINT (445624.0811339044 4475705.381584751)
ATOCHA,ATOCHA,40.40659,-3.68938,POINT (441505.0028511941 4473114.433930609)
AVENIDA DE AMERICA,AVENIDA DE AMERICA,40.43804,-3.67647,POINT (442627.171858124 4476596.907060865)
AVENIDA DE GUADALAJARA,AVENIDA DE GUADALAJARA,40.42239,-3.61206,POINT (448077.9180931277 4474819.920185768)
AVENIDA DE LA ILUSTRACION,AVENIDA DE LA ILUSTRACION,40.4801,-3.7184,POINT (439108.95979759423 4481293.6649186965)
AVIACION ESPAÑOLA,AVIACION ESPAÑOLA,40.38364,-3.78392,POINT (433460.467550317 4470633.853804223)
BAMBU,BAMBU,40.47682,-3.67637,POINT (442668.6277741458 4480901.432072114)
BANCO DE ESPAÑA,BANCO DE ESPAÑA,40.41922,-3.69497,POINT (441041.70316097536 4474520.071903459)
BARRIO DE LA CONCEPCION,BARRIO DE LA CONCEPCION,40.4391,-3.652,POINT (444703.40664592246 4476698.960292291)
BARRIO DEL PILAR,BARRIO DEL PILAR,40.47689,-3.70316,POINT (440397.8622860618 4480926.94901833)
BARRIO DEL PUERTO,BARRIO DEL PUERTO,40.4225,-3.56919,POINT (451714.75116693793 4474807.820749491)
BATAN,BATAN,40.40786,-3.75311,POINT (436098.5631713328 4473299.530509455)
BAUNATAL,BAUNATAL,40.55442,-3.63513,POINT (446226.3250763588 4489489.154723702)
BEGOÑA,BEGOÑA,40.48041,-3.68585,POINT (441868.1620673177 4481306.125731266)
BILBAO,BILBAO,40.42906,-3.70218,POINT (440438.71283459937 4475617.144827642)
BUENOS AIRES,BUENOS AIRES,40.39156,-3.65391,POINT (444502.3701908151 4471423.247462381)
CALLAO,CALLAO,40.42014,-3.70566,POINT (440135.6172340604 4474629.379103013)
CAMPAMENTO,CAMPAMENTO,40.39481,-3.76813,POINT (434811.5154360923 4471861.9541976)
CANAL,CANAL,40.4387,-3.70489,POINT (440217.3780035883 4476689.014599181)
CANILLAS,CANILLAS,40.46381,-3.6356,POINT (446114.0537055084 4479431.632360322)
CANILLEJAS,CANILLEJAS,40.44942,-3.60816,POINT (448429.4200538716 4477817.9551834185)
CARABANCHEL,CARABANCHEL,40.38783,-3.74487,POINT (436779.00060960464 4471070.287705254)
CARABANCHEL ALTO,CARABANCHEL ALTO,40.372,-3.75191,POINT (436166.5337573426 4469318.2297305055)
CARPETANA,CARPETANA,40.3927,-3.74099,POINT (437112.8497742211 4471608.086942258)
CARTAGENA,CARTAGENA,40.43934,-3.67215,POINT (442994.6608254209 4476738.409890654)
CASA DE CAMPO,CASA DE CAMPO,40.40321,-3.76101,POINT (435423.7972821224 4472789.124068547)
CASA DEL RELOJ,CASA DEL RELOJ,40.3266,-3.75942,POINT (435485.7180339169 4464284.343390868)
CHAMARTIN,CHAMARTIN,40.4721,-3.68259,POINT (442137.3441612312 4480381.568185595)
CHUECA,CHUECA,40.42293,-3.69762,POINT (440820.13794494997 4474933.6521130875)
CIUDAD DE LOS ANGELES,CIUDAD DE LOS ANGELES,40.35959,-3.69363,POINT (441103.459547765 4467900.306533574)
CIUDAD LINEAL,CIUDAD LINEAL,40.43805,-3.63816,POINT (445876.3529369156 4476573.838139297)
CIUDAD UNIVERSITARIA,CIUDAD UNIVERSITARIA,40.44356,-3.72678,POINT (438365.28235189285 4477243.521097875)
COLOMBIA,COLOMBIA,40.45634,-3.67682,POINT (442613.0549663243 4478628.435626577)
COLON,COLON,40.42542,-3.69101,POINT (441383.03742464876 4475205.635009006)
CONCHA ESPINA,CONCHA ESPINA,40.45145,-3.67738,POINT (442561.4088531416 4478086.0087958155)
CONDE DE CASAL,CONDE DE CASAL,40.40697,-3.67041,POINT (443114.96972621727 4473144.231836297)
CONGOSTO,CONGOSTO,40.37238,-3.61884,POINT (447463.8976772921 4469272.870787712)
COSLADA CENTRAL,COSLADA CENTRAL,40.42374,-3.56119,POINT (452394.28098309576 4474941.118764262)
CUATRO CAMINOS,CUATRO CAMINOS,40.44697,-3.70387,POINT (440311.2019297831 4477606.295418571)
CUATRO VIENTOS,CUATRO VIENTOS,40.37771,-3.79152,POINT (432809.4775127021 4469981.374787648)
CUZCO,CUZCO,40.45842,-3.68985,POINT (441510.04866156215 4478867.866458543)
DELICIAS,DELICIAS,40.3999,-3.6942,POINT (441090.18295039504 4472375.049736637)
DIEGO DE LEON,DIEGO DE LEON,40.43295,-3.67294,POINT (442922.25659376377 4476029.63107062)
DUQUE DE PASTRANA,DUQUE DE PASTRANA,40.46763,-3.67917,POINT (442423.4396786221 4479883.159620673)
EL BERCIAL,EL BERCIAL,40.32907,-3.72963,POINT (438018.7220148134 4464537.225583924)
EL CARMEN,EL CARMEN,40.43189,-3.65757,POINT (444225.05003875965 4475902.1538668275)
EL CARRASCAL,EL CARRASCAL,40.33664,-3.74018,POINT (437129.5287851058 4465384.921465866)
EL CASAR,EL CASAR,40.31862,-3.70985,POINT (439689.7261339394 4463363.636925185)
EMBAJADORES,EMBAJADORES,40.40513,-3.70268,POINT (440375.1791149223 4472961.2618587045)
ESTADIO METROPOLITANO,ESTADIO METROPOLITANO,40.43339,-3.60015,POINT (449096.56361622975 4476033.983357466)
ESTRECHO,ESTRECHO,40.45429,-3.70302,POINT (440389.7518250018 4478418.242932004)
ESTRELLA,ESTRELLA,40.41147,-3.66179,POINT (443850.13169736584 4473638.216470843)
FERIA DE MADRID,FERIA DE MADRID,40.46389,-3.6162,POINT (447758.85121846996 4479428.851829576)
FRANCOS RODRIGUEZ,FRANCOS RODRIGUEZ,40.45648,-3.71239,POINT (439597.20850543544 4478667.701466056)
FUENCARRAL,FUENCARRAL,40.49509,-3.69283,POINT (441289.33513273846 4482940.239955128)
FUENLABRADA CENTRAL,FUENLABRADA CENTRAL,40.28268,-3.79891,POINT (432086.95396861027 4459438.843020634)
GARCIA NOBLEJAS,GARCIA NOBLEJAS,40.42842,-3.6333,POINT (446280.87904111977 4475501.944972385)
GETAFE CENTRAL,GETAFE CENTRAL,40.30993,-3.73403,POINT (437627.3314125702 4462415.816389271)
GOYA,GOYA,40.42455,-3.67591,POINT (442663.21041240817 4475099.156728241)
GRAN VIA,GRAN VIA,40.42001,-3.7018,POINT (440462.9668277073 4474612.341171474)
GREGORIO MARAÑON,GREGORIO MARAÑON,40.43825,-3.69148,POINT (441354.3151785219 4476630.074714734)
GUZMAN EL BUENO,GUZMAN EL BUENO,40.44633,-3.71229,POINT (439596.5996512532 4477540.98024388)
HENARES,HENARES,40.41777,-3.52718,POINT (455275.4075945963 4474260.685368005)
HERRERA ORIA,HERRERA ORIA,40.48466,-3.70751,POINT (440036.0534802152 4481792.372052355)
HORTALEZA,HORTALEZA,40.47537,-3.65257,POINT (444684.8191415205 4480725.293365678)
HOSPITAL 12 DE OCTUBRE,HOSPITAL 12 DE OCTUBRE,40.37503,-3.69585,POINT (440928.4381609356 4469615.6054609055)
HOSPITAL DE FUENLABRADA,HOSPITAL DE FUENLABRADA,40.28576,-3.81642,POINT (430601.6125405772 4459794.282752941)
HOSPITAL DE MOSTOLES,HOSPITAL DE MOSTOLES,40.31652,-3.87471,POINT (425680.4260258558 4463255.871261073)
HOSPITAL INFANTA SOFIA,HOSPITAL INFANTA SOFIA,40.55977,-3.61145,POINT (448235.3399884051 4490068.834166736)
HOSPITAL SEVERO OCHOA,HOSPITAL SEVERO OCHOA,40.32177,-3.76797,POINT (434754.72053486557 4463754.488271802)
IBIZA,IBIZA,40.41839,-3.67858,POINT (442431.4641328521 4474417.135410392)
IGLESIA,IGLESIA,40.43492,-3.69898,POINT (440715.296495158 4476265.451512406)
JARAMA,JARAMA,40.42295,-3.52549,POINT (455422.2028091045 4474834.806519938)
JOAQUIN VILUMBRALES,JOAQUIN VILUMBRALES,40.34985,-3.8072,POINT (431450.20239861624 4466900.97325082)
LA ALMUDENA,LA ALMUDENA,40.42361,-3.63914,POINT (445781.6405434466 4474971.60460278)
LA ELIPA,LA ELIPA,40.42662,-3.65052,POINT (444818.72642867523 4475312.7585913185)
LA FORTUNA,LA FORTUNA,40.35795,-3.77783,POINT (433952.3185454428 4467777.724187797)
LA GAVIA,LA GAVIA,40.37019,-3.61346,POINT (447918.94692419504 4469026.602633587)
LA GRANJA,LA GRANJA,40.5276,-3.65859,POINT (444217.8123929419 4486526.667394407)
LA LATINA,LA LATINA,40.41128,-3.70816,POINT (439915.6479975657 4473647.619522061)
LA MORALEJA,LA MORALEJA,40.53196,-3.63556,POINT (446171.9415588481 4486996.3180391565)
LA POVEDA,LA POVEDA,40.31902,-3.47745,POINT (459435.2274562145 4463275.657479531)
LA RAMBLA,LA RAMBLA,40.42514,-3.54792,POINT (453520.9436777526 4475089.452443354)
LAGO,LAGO,40.41641,-3.73563,POINT (437589.6554778002 4474236.085829572)
LAGUNA,LAGUNA,40.39923,-3.74429,POINT (436838.88156200526 4472335.265269475)
LAS MUSAS,LAS MUSAS,40.43299,-3.60788,POINT (448440.61213063623 4475994.0664779395)
LAS SUERTES,LAS SUERTES,40.36323,-3.59953,POINT (449096.33656046557 4468245.945896381)
LAS TABLAS,LAS TABLAS,40.50833,-3.66944,POINT (443282.5795640798 4484394.591897171)
LAVAPIES,LAVAPIES,40.40851,-3.7009,POINT (440529.1946223156 4473335.240565727)
LEGANES CENTRAL,LEGANES CENTRAL,40.32899,-3.77154,POINT (434458.40108156594 4464558.531676676)
LEGAZPI,LEGAZPI,40.39116,-3.69511,POINT (441005.33193535765 4471405.52398576)
LORANCA,LORANCA,40.29681,-3.83768,POINT (428806.01852503 4461037.676913687)
MANOTERAS,MANOTERAS,40.47687,-3.6629,POINT (443810.4396945438 4480898.31941137)
MANUEL BECERRA,MANUEL BECERRA,40.4279,-3.66926,POINT (443230.1443625962 4475466.711260027)
MANUEL DE FALLA,MANUEL DE FALLA,40.55048,-3.64688,POINT (445228.2871038143 4489059.043559124)
MAR DE CRISTAL,MAR DE CRISTAL,40.46938,-3.63832,POINT (445887.92208254704 4480051.567780475)
MARQUES DE VADILLO,MARQUES DE VADILLO,40.39736,-3.71596,POINT (439241.3304272995 4472107.840015296)
MENDEZ ALVARO,MENDEZ ALVARO,40.39538,-3.67814,POINT (442449.1964466175 4471862.754879119)
MENENDEZ PELAYO,MENENDEZ PELAYO,40.40445,-3.68098,POINT (442215.93168859015 4472871.370106823)
MIGUEL HERNANDEZ,MIGUEL HERNANDEZ,40.38732,-3.63951,POINT (445721.10887937783 4470943.673029199)
MIRASIERRA,MIRASIERRA,40.4911,-3.71634,POINT (439293.47715281066 4482513.255994642)
MONTECARMELO,MONTECARMELO,40.50525,-3.69575,POINT (441050.78579971957 4484069.958768064)
MOSTOLES CENTRAL,MOSTOLES CENTRAL,40.3285,-3.86354,POINT (426642.46468492626 4464576.31785929)
NOVICIADO,NOVICIADO,40.42484,-3.70742,POINT (439990.4839995982 4475152.2716202075)
NUEVA NUMANCIA,NUEVA NUMANCIA,40.39554,-3.66414,POINT (443637.4579301259 4471871.495110647)
NUEVOS MINISTERIOS,NUEVOS MINISTERIOS,40.44655,-3.69241,POINT (441282.6621973475 4477551.9928581035)
NUÑEZ DE BALBOA,NUÑEZ DE BALBOA,40.43013,-3.67936,POINT (442375.3107458984 4475720.779609934)
ODONNELL,ODONNELL,40.42289,-3.6686,POINT (443281.9208739494 4474910.179276063)
OPAÑEL,OPAÑEL,40.3869,-3.72313,POINT (438623.3596549199 4470951.741014639)
OPERA,OPERA,40.41809,-3.70928,POINT (439826.686967065 4474404.288637285)
OPORTO,OPORTO,40.38846,-3.73132,POINT (437929.648367965 4471130.616871939)
PACIFICO,PACIFICO,40.40126,-3.67514,POINT (442708.7799465072 4472513.481145706)
PAN BENDITO,PAN BENDITO,40.37587,-3.73417,POINT (437676.15198511095 4469735.143432078)
PARQUE DE SANTA MARIA,PARQUE DE SANTA MARIA,40.47711,-3.64524,POINT (445307.56372535566 4480913.8662311025)
PARQUE LISBOA,PARQUE LISBOA,40.34969,-3.8212,POINT (430261.1031901324 4466894.153107724)
PARQUE OESTE,PARQUE OESTE,40.34589,-3.84934,POINT (427867.2889416971 4466494.915103311)
PAVONES,PAVONES,40.40051,-3.63512,POINT (446104.23348988756 4472405.062937)
PLAZA DE CASTILLA,PLAZA DE CASTILLA,40.4669,-3.68917,POINT (441575.05172346684 4479808.699630333)
PLAZA DE ESPAÑA,PLAZA DE ESPAÑA,40.42409,-3.7097,POINT (439796.4042812202 4475070.5728820395)
PLAZA ELIPTICA,PLAZA ELIPTICA,40.3846,-3.71825,POINT (439035.48609181365 4470693.067221558)
PRINCIPE DE VERGARA,PRINCIPE DE VERGARA,40.42418,-3.68024,POINT (442295.58174334274 4475060.905795573)
PRINCIPE PIO,PRINCIPE PIO,40.42107,-3.72032,POINT (438892.77308172005 4474742.644108295)
PUEBLO NUEVO,PUEBLO NUEVO,40.43566,-3.64282,POINT (445479.1956232088 4476311.414562877)
PUERTA DE ARGANDA,PUERTA DE ARGANDA,40.40132,-3.59598,POINT (449426.2482703306 4472471.84395941)
PUERTA DEL SUR,PUERTA DEL SUR,40.34543,-3.81249,POINT (430996.45055330306 4466414.470366803)
QUEVEDO,QUEVEDO,40.43322,-3.70433,POINT (440260.02256326354 4476080.355978874)
RIVAS FUTURA,RIVAS FUTURA,40.34134,-3.52479,POINT (455427.82819027023 4465775.880199413)
SAN BLAS,SAN BLAS,40.42799,-3.61547,POINT (447792.97026824876 4475443.526392263)
SAN CIPRIANO,SAN CIPRIANO,40.40381,-3.60239,POINT (448884.1878982205 4472751.918378609)
SAN CRISTOBAL,SAN CRISTOBAL,40.34154,-3.69318,POINT (441125.9749271873 4465896.487904206)
SERRANO,SERRANO,40.42543,-3.68663,POINT (441754.5953541978 4475203.848314089)
SEVILLA,SEVILLA,40.41805,-3.69925,POINT (440677.57559101295 4474393.066891135)
SIERRA DE GUADALUPE,SIERRA DE GUADALUPE,40.38216,-3.62472,POINT (446972.38302568835 4470361.9457360525)
SOL,SOL,40.41685,-3.70326,POINT (440336.3155419045 4474262.567135039)
SUANZES,SUANZES,40.44085,-3.62684,POINT (446838.6370239287 4476877.762669241)
TETUAN,TETUAN,40.46055,-3.69825,POINT (440799.7064569521 4479109.89579114)
VALDEBERNARDO,VALDEBERNARDO,40.40005,-3.62156,POINT (447254.5724406028 4472345.824207395)
ABRANTES,ABRANTES,40.38083,-3.7279,POINT (438212.94974320335 4470281.298691018)
ACACIAS,ACACIAS,40.40387,-3.70664,POINT (440038.0386002669 4472824.081506895)
AEROPUERTO T-4,AEROPUERTO T-4,40.49177,-3.59325,POINT (449725.3543943269 4482510.214279061)
AEROPUERTO T1-T2-T3,AEROPUERTO T1-T2-T3,40.46864,-3.56954,POINT (451718.0875145042 4479929.53686119)
ALAMEDA DE OSUNA,ALAMEDA DE OSUNA,40.45779,-3.58752,POINT (450185.8364837028 4478735.175506614)
ALFONSO XIII,ALFONSO XIII,40.44825,-3.66791,POINT (443361.73902693315 4477724.691778072)
ALMENDRALES,ALMENDRALES,40.38409,-3.69788,POINT (440764.0435430483 4470622.61294777)
ALONSO CANO,ALONSO CANO,40.43838,-3.69925,POINT (440695.43625497236 4476649.692573414)
ALONSO MARTINEZ,ALONSO MARTINEZ,40.42853,-3.69643,POINT (440925.9874537213 4475554.454234507)
ALSACIA,ALSACIA,40.41829,-3.62351,POINT (447103.3778706546 4474371.6140864)
ALTO DE EXTREMADURA,ALTO DE EXTREMADURA,40.40993,-3.73894,POINT (437302.82060880517 4473519.151018487)
ALTO DEL ARENAL,ALTO DEL ARENAL,40.38977,-3.64522,POINT (445238.4494854115 4471219.140986627)
ALUCHE,ALUCHE,40.38563,-3.7608,POINT (435424.824565514 4470837.601341016)
ALVARADO,ALVARADO,40.45033,-3.70331,POINT (440361.6610877043 4477978.877718021)
ANTON MARTIN,ANTON MARTIN,40.41246,-3.69937,POINT (440662.4844918196 4473772.660017175)
ANTONIO MACHADO,ANTONIO MACHADO,40.47022,-3.71769,POINT (439160.22184683057 4480196.487888256)
ARGANZUELA-PLANETARIO,ARGANZUELA-PLANETARIO,40.3931,-3.68864,POINT (441556.1287481369 4471616.565123234)
ARGÜELLES,ARGÜELLES,40.43053,-3.71596,POINT (439271.1591885559 4475789.696132698)
ARROYOFRESNO,ARROYOFRESNO,40.4909,-3.72604,POINT (438471.2571082746 4482497.774816867)
ARTILLEROS,ARTILLEROS,40.40522,-3.64181,POINT (445540.3176785748 4472931.969022433)
ARTURO SORIA,ARTURO SORIA,40.45583,-3.65618,POINT (444362.6933265859 4478558.615430932)
ASCAO,ASCAO,40.43021,-3.64106,POINT (445624.0811339044 4475705.381584751)
ATOCHA,ATOCHA,40.40659,-3.68938,POINT (441505.0028511941 4473114.433930609)
