stop1,stop2,transporte1,transporte2,mean_time_diff
ABRANTES,PAN BENDITO,metro,metro,106.5
ABRANTES,PLAZA ELIPTICA,metro,metro,123.5
ACACIAS,PIRAMIDES,metro,metro,83.0
ACACIAS,PUERTA DE TOLEDO,metro,metro,138.0
AEROPUERTO T-4,BARAJAS,metro,metro,175.0
AEROPUERTO T1-T2-T3,BARAJAS,metro,metro,118.0
AEROPUERTO T1-T2-T3,FERIA DE MADRID,metro,metro,339.0
ALAMEDA DE OSUNA,EL CAPRICHO,metro,metro,114.0
ALCORCON CENTRAL,PARQUE LISBOA,metro,metro,108.0
ALCORCON CENTRAL,PARQUE OESTE,metro,metro,144.0
ALFONSO XIII,AVENIDA DE LA PAZ,metro,metro,101.5
ALFONSO XIII,PROSPERIDAD,metro,metro,137.0
ALMENDRALES,HOSPITAL 12 DE OCTUBRE,metro,metro,150.5
ALMENDRALES,LEGAZPI,metro,metro,146.5
ALONSO CANO,CANAL,metro,metro,61.5
ALONSO CANO,GREGORIO MARAÑON,metro,metro,81.0
ALONSO DE MENDOZA,CONSERVATORIO,metro,metro,108.0
ALONSO DE MENDOZA,GETAFE CENTRAL,metro,metro,117.0
ALONSO MARTINEZ,BILBAO,metro,metro,69.5
ALONSO MARTINEZ,CHUECA,metro,metro,107.0
ALONSO MARTINEZ,COLON,metro,metro,60.5
ALONSO MARTINEZ,GREGORIO MARAÑON,metro,metro,134.0
ALONSO MARTINEZ,RUBEN DARIO,metro,metro,109.0
ALONSO MARTINEZ,TRIBUNAL,metro,metro,66.0
ALSACIA,AVENIDA DE GUADALAJARA,metro,metro,162.0
ALSACIA,LA ALMUDENA,metro,metro,212.5
ALTO DE EXTREMADURA,LUCERO,metro,metro,131.5
ALTO DE EXTREMADURA,PUERTA DEL ANGEL,metro,metro,144.0
ALTO DEL ARENAL,BUENOS AIRES,metro,metro,103.0
ALTO DEL ARENAL,MIGUEL HERNANDEZ,metro,metro,99.5
ALUCHE,EMPALME,metro,metro,104.0
ALUCHE,EUGENIA DE MONTIJO,metro,metro,143.0
ALVARADO,CUATRO CAMINOS,metro,metro,68.5
ALVARADO,ESTRECHO,metro,metro,84.5
ANTON MARTIN,ESTACION DEL ARTE,metro,metro,107.0
ANTON MARTIN,TIRSO DE MOLINA,metro,metro,76.5
ANTONIO MACHADO,PEÑAGRANDE,metro,metro,85.5
ANTONIO MACHADO,VALDEZARZA,metro,metro,114.5
ARGANDA DEL REY,LA POVEDA,metro,metro,245.5
ARGANZUELA-PLANETARIO,LEGAZPI,metro,metro,93.5
ARGANZUELA-PLANETARIO,MENDEZ ALVARO,metro,metro,111.0
ARGÜELLES,MONCLOA,metro,metro,67.0
ARGÜELLES,PRINCIPE PIO,metro,metro,190.5
ARGÜELLES,SAN BERNARDO,metro,metro,130.0
ARGÜELLES,VENTURA RODRIGUEZ,metro,metro,68.5
ARROYO CULEBRO,CONSERVATORIO,metro,metro,89.0
ARROYO CULEBRO,PARQUE DE LOS ESTADOS,metro,metro,242.5
ARROYOFRESNO,LACOMA,metro,metro,91.0
ARROYOFRESNO,PITIS,metro,metro,73.0
ARTILLEROS,PAVONES,metro,metro,126.0
ARTILLEROS,VINATEROS,metro,metro,116.0
ARTURO SORIA,AVENIDA DE LA PAZ,metro,metro,121.5
ARTURO SORIA,ESPERANZA,metro,metro,134.0
ASCAO,GARCIA NOBLEJAS,metro,metro,102.0
ASCAO,PUEBLO NUEVO,metro,metro,92.5
ATOCHA,ESTACION DEL ARTE,metro,metro,48.5
ATOCHA,MENENDEZ PELAYO,metro,metro,111.0
AVENIDA DE AMERICA,CARTAGENA,metro,metro,94.5
AVENIDA DE AMERICA,CRUZ DEL RAYO,metro,metro,97.0
AVENIDA DE AMERICA,DIEGO DE LEON,metro,metro,90.5
AVENIDA DE AMERICA,GREGORIO MARAÑON,metro,metro,141.0
AVENIDA DE AMERICA,NUÑEZ DE BALBOA,metro,metro,98.0
AVENIDA DE AMERICA,PROSPERIDAD,metro,metro,126.0
AVENIDA DE AMERICA,REPUBLICA ARGENTINA,metro,metro,123.0
AVENIDA DE GUADALAJARA,LAS ROSAS,metro,metro,129.0
AVENIDA DE LA ILUSTRACION,LACOMA,metro,metro,88.5
AVENIDA DE LA ILUSTRACION,PEÑAGRANDE,metro,metro,70.5
AVIACION ESPAÑOLA,COLONIA JARDIN,metro,metro,220.5
AVIACION ESPAÑOLA,CUATRO VIENTOS,metro,metro,113.0
BAMBU,CHAMARTIN,metro,metro,126.5
BAMBU,PINAR DE CHAMARTIN,metro,metro,190.0
BANCO DE ESPAÑA,RETIRO,metro,metro,111.0
BANCO DE ESPAÑA,SEVILLA,metro,metro,68.0
BARRIO DE LA CONCEPCION,PARQUE DE LAS AVENIDAS,metro,metro,120.0
BARRIO DE LA CONCEPCION,PUEBLO NUEVO,metro,metro,126.0
BARRIO DEL PILAR,HERRERA ORIA,metro,metro,129.0
BARRIO DEL PILAR,VENTILLA,metro,metro,138.5
BARRIO DEL PUERTO,COSLADA CENTRAL,metro,metro,75.0
BARRIO DEL PUERTO,ESTADIO METROPOLITANO,metro,metro,316.5
BATAN,CASA DE CAMPO,metro,metro,109.0
BATAN,LAGO,metro,metro,219.0
BAUNATAL,MANUEL DE FALLA,metro,metro,96.0
BAUNATAL,REYES CATOLICOS,metro,metro,111.0
BEGOÑA,CHAMARTIN,metro,metro,120.0
BEGOÑA,FUENCARRAL,metro,metro,166.0
BILBAO,IGLESIA,metro,metro,111.0
BILBAO,SAN BERNARDO,metro,metro,62.5
BILBAO,TRIBUNAL,metro,metro,75.0
BUENOS AIRES,PORTAZGO,metro,metro,88.5
CALLAO,GRAN VIA,metro,metro,52.0
CALLAO,OPERA,metro,metro,76.0
CALLAO,PLAZA DE ESPAÑA,metro,metro,82.5
CALLAO,SOL,metro,metro,64.5
CAMPAMENTO,CASA DE CAMPO,metro,metro,184.0
CAMPAMENTO,EMPALME,metro,metro,69.0
CANAL,CUATRO CAMINOS,metro,metro,112.5
CANAL,ISLAS FILIPINAS,metro,metro,98.5
CANAL,QUEVEDO,metro,metro,105.5
CANILLAS,ESPERANZA,metro,metro,206.5
CANILLAS,MAR DE CRISTAL,metro,metro,101.0
CANILLEJAS,EL CAPRICHO,metro,metro,218.0
CANILLEJAS,TORRE ARIAS,metro,metro,153.0
CARABANCHEL,EUGENIA DE MONTIJO,metro,metro,90.0
CARABANCHEL,VISTA ALEGRE,metro,metro,96.0
CARABANCHEL ALTO,LA PESETA,metro,metro,126.5
CARABANCHEL ALTO,SAN FRANCISCO,metro,metro,156.5
CARPETANA,LAGUNA,metro,metro,97.5
CARPETANA,OPORTO,metro,metro,126.0
CARTAGENA,PARQUE DE LAS AVENIDAS,metro,metro,93.0
CASA DE CAMPO,COLONIA JARDIN,metro,metro,150.5
CASA DEL RELOJ,HOSPITAL SEVERO OCHOA,metro,metro,79.5
CASA DEL RELOJ,JULIAN BESTEIRO,metro,metro,121.0
CHAMARTIN,PLAZA DE CASTILLA,metro,metro,139.5
CHUECA,GRAN VIA,metro,metro,77.0
CIUDAD DE LOS ANGELES,SAN FERMIN-ORCASUR,metro,metro,165.0
CIUDAD DE LOS ANGELES,VILLAVERDE BAJO CRUCE,metro,metro,143.5
CIUDAD LINEAL,PUEBLO NUEVO,metro,metro,84.0
CIUDAD LINEAL,SUANZES,metro,metro,147.0
CIUDAD UNIVERSITARIA,MONCLOA,metro,metro,186.5
CIUDAD UNIVERSITARIA,VICENTE ALEIXANDRE,metro,metro,96.5
COLOMBIA,CONCHA ESPINA,metro,metro,97.0
COLOMBIA,NUEVOS MINISTERIOS,metro,metro,156.5
COLOMBIA,PINAR DEL REY,metro,metro,242.5
COLOMBIA,PIO XII,metro,metro,95.0
COLON,SERRANO,metro,metro,80.0
CONCHA ESPINA,CRUZ DEL RAYO,metro,metro,96.0
CONDE DE CASAL,PACIFICO,metro,metro,103.5
CONDE DE CASAL,SAINZ DE BARANDA,metro,metro,116.0
CONGOSTO,LA GAVIA,metro,metro,107.0
CONGOSTO,VILLA DE VALLECAS,metro,metro,125.5
COSLADA CENTRAL,LA RAMBLA,metro,metro,144.0
CUATRO CAMINOS,GUZMAN EL BUENO,metro,metro,105.0
CUATRO CAMINOS,NUEVOS MINISTERIOS,metro,metro,106.5
CUATRO CAMINOS,RIOS ROSAS,metro,metro,81.0
CUATRO VIENTOS,JOAQUIN VILUMBRALES,metro,metro,384.0
CUZCO,PLAZA DE CASTILLA,metro,metro,104.0
CUZCO,SANTIAGO BERNABEU,metro,metro,92.0
DELICIAS,LEGAZPI,metro,metro,112.5
DELICIAS,PALOS DE LA FRONTERA,metro,metro,71.0
DIEGO DE LEON,LISTA,metro,metro,90.0
DIEGO DE LEON,MANUEL BECERRA,metro,metro,105.0
DIEGO DE LEON,NUÑEZ DE BALBOA,metro,metro,103.0
DIEGO DE LEON,VENTAS,metro,metro,136.0
DUQUE DE PASTRANA,PIO XII,metro,metro,101.0
DUQUE DE PASTRANA,PLAZA DE CASTILLA,metro,metro,83.0
EL BERCIAL,EL CARRASCAL,metro,metro,132.0
EL BERCIAL,LOS ESPARTALES,metro,metro,107.0
EL CARMEN,QUINTANA,metro,metro,109.0
EL CARMEN,VENTAS,metro,metro,106.0
EL CARRASCAL,JULIAN BESTEIRO,metro,metro,93.0
EL CASAR,JUAN DE LA CIERVA,metro,metro,139.5
EL CASAR,LOS ESPARTALES,metro,metro,79.5
EMBAJADORES,LAVAPIES,metro,metro,66.5
EMBAJADORES,PALOS DE LA FRONTERA,metro,metro,113.0
ESTADIO METROPOLITANO,LAS MUSAS,metro,metro,123.0
ESTRECHO,TETUAN,metro,metro,120.0
ESTRELLA,SAINZ DE BARANDA,metro,metro,113.0
ESTRELLA,VINATEROS,metro,metro,121.0
FERIA DE MADRID,MAR DE CRISTAL,metro,metro,184.0
FRANCOS RODRIGUEZ,GUZMAN EL BUENO,metro,metro,147.0
FRANCOS RODRIGUEZ,VALDEZARZA,metro,metro,155.5
FUENCARRAL,TRES OLIVOS,metro,metro,80.0
FUENLABRADA CENTRAL,PARQUE DE LOS ESTADOS,metro,metro,115.0
FUENLABRADA CENTRAL,PARQUE EUROPA,metro,metro,72.0
GARCIA NOBLEJAS,SIMANCAS,metro,metro,105.5
GETAFE CENTRAL,JUAN DE LA CIERVA,metro,metro,112.0
GOYA,LISTA,metro,metro,91.0
GOYA,MANUEL BECERRA,metro,metro,93.5
GOYA,PRINCIPE DE VERGARA,metro,metro,62.5
GOYA,VELAZQUEZ,metro,metro,78.0
GRAN VIA,SOL,metro,metro,51.0
GRAN VIA,TRIBUNAL,metro,metro,109.0
GREGORIO MARAÑON,NUEVOS MINISTERIOS,metro,metro,100.0
GUZMAN EL BUENO,ISLAS FILIPINAS,metro,metro,189.5
GUZMAN EL BUENO,VICENTE ALEIXANDRE,metro,metro,90.0
HENARES,HOSPITAL DEL HENARES,metro,metro,75.0
HENARES,JARAMA,metro,metro,91.0
HERRERA ORIA,MIRASIERRA,metro,metro,160.5
HORTALEZA,MANOTERAS,metro,metro,171.5
HORTALEZA,PARQUE DE SANTA MARIA,metro,metro,110.5
HOSPITAL 12 DE OCTUBRE,SAN FERMIN-ORCASUR,metro,metro,87.5
HOSPITAL DE FUENLABRADA,LORANCA,metro,metro,202.5
HOSPITAL DE FUENLABRADA,PARQUE EUROPA,metro,metro,70.5
HOSPITAL DE MOSTOLES,MANUELA MALASAÑA,metro,metro,137.0
HOSPITAL DE MOSTOLES,PRADILLO,metro,metro,93.0
HOSPITAL INFANTA SOFIA,REYES CATOLICOS,metro,metro,143.0
HOSPITAL SEVERO OCHOA,LEGANES CENTRAL,metro,metro,100.0
IBIZA,PRINCIPE DE VERGARA,metro,metro,96.0
IBIZA,SAINZ DE BARANDA,metro,metro,128.5
IGLESIA,RIOS ROSAS,metro,metro,116.5
JARAMA,SAN FERNANDO,metro,metro,124.5
JOAQUIN VILUMBRALES,PUERTA DEL SUR,metro,metro,83.0
LA ALMUDENA,LA ELIPA,metro,metro,164.0
LA ELIPA,VENTAS,metro,metro,210.5
LA FORTUNA,LA PESETA,metro,metro,331.0
LA GAVIA,LAS SUERTES,metro,metro,214.5
LA GRANJA,LA MORALEJA,metro,metro,193.0
LA GRANJA,RONDA DE LA COMUNICACION,metro,metro,145.0
LA LATINA,OPERA,metro,metro,118.0
LA LATINA,PUERTA DE TOLEDO,metro,metro,90.0
LA MORALEJA,MARQUES DE LA VALDAVIA,metro,metro,140.0
LA POVEDA,RIVAS VACIAMADRID,metro,metro,290.5
LA RAMBLA,SAN FERNANDO,metro,metro,120.0
LAGO,PRINCIPE PIO,metro,metro,190.5
LAGUNA,LUCERO,metro,metro,110.0
LAS MUSAS,SAN BLAS,metro,metro,113.0
LAS SUERTES,VALDECARROS,metro,metro,102.0
LAS TABLAS,MONTECARMELO,metro,metro,322.0
LAS TABLAS,RONDA DE LA COMUNICACION,metro,metro,99.0
LAVAPIES,SOL,metro,metro,140.0
LEGANES CENTRAL,SAN NICASIO,metro,metro,97.0
LEGAZPI,USERA,metro,metro,138.5
LORANCA,MANUELA MALASAÑA,metro,metro,255.5
MANOTERAS,PINAR DE CHAMARTIN,metro,metro,97.0
MANUEL BECERRA,ODONNELL,metro,metro,86.0
MANUEL BECERRA,VENTAS,metro,metro,92.5
MANUEL DE FALLA,MARQUES DE LA VALDAVIA,metro,metro,165.0
MAR DE CRISTAL,PINAR DEL REY,metro,metro,73.0
MAR DE CRISTAL,SAN LORENZO,metro,metro,78.0
MARQUES DE VADILLO,PIRAMIDES,metro,metro,117.0
MARQUES DE VADILLO,URGEL,metro,metro,118.0
MENDEZ ALVARO,PACIFICO,metro,metro,121.0
MENENDEZ PELAYO,PACIFICO,metro,metro,84.5
MIGUEL HERNANDEZ,SIERRA DE GUADALUPE,metro,metro,209.0
MIRASIERRA,PACO DE LUCIA,metro,metro,199.0
MONTECARMELO,TRES OLIVOS,metro,metro,63.0
MOSTOLES CENTRAL,PRADILLO,metro,metro,66.0
MOSTOLES CENTRAL,UNIVERSIDAD REY JUAN CARLOS,metro,metro,112.0
NOVICIADO,SAN BERNARDO,metro,metro,93.0
NOVICIADO,SANTO DOMINGO,metro,metro,60.5
NUEVA NUMANCIA,PORTAZGO,metro,metro,90.5
NUEVA NUMANCIA,PUENTE DE VALLECAS,metro,metro,74.0
NUEVOS MINISTERIOS,REPUBLICA ARGENTINA,metro,metro,133.5
NUEVOS MINISTERIOS,SANTIAGO BERNABEU,metro,metro,92.0
NUÑEZ DE BALBOA,PRINCIPE DE VERGARA,metro,metro,109.5
NUÑEZ DE BALBOA,RUBEN DARIO,metro,metro,102.0
ODONNELL,SAINZ DE BARANDA,metro,metro,108.0
OPAÑEL,OPORTO,metro,metro,106.5
OPAÑEL,PLAZA ELIPTICA,metro,metro,98.0
OPERA,PRINCIPE PIO,metro,metro,185.0
OPERA,SANTO DOMINGO,metro,metro,64.5
OPERA,SOL,metro,metro,73.0
OPORTO,URGEL,metro,metro,102.0
OPORTO,VISTA ALEGRE,metro,metro,113.0
PACIFICO,PUENTE DE VALLECAS,metro,metro,111.5
PAN BENDITO,SAN FRANCISCO,metro,metro,88.0
PARQUE DE SANTA MARIA,SAN LORENZO,metro,metro,110.0
PARQUE LISBOA,PUERTA DEL SUR,metro,metro,77.0
PARQUE OESTE,UNIVERSIDAD REY JUAN CARLOS,metro,metro,231.5
PAVONES,VALDEBERNARDO,metro,metro,189.0
PLAZA DE CASTILLA,VALDEACEDERAS,metro,metro,81.0
PLAZA DE CASTILLA,VENTILLA,metro,metro,117.0
PLAZA DE ESPAÑA,PRINCIPE PIO,metro,metro,106.0
PLAZA DE ESPAÑA,TRIBUNAL,metro,metro,79.0
PLAZA DE ESPAÑA,VENTURA RODRIGUEZ,metro,metro,61.5
PLAZA ELIPTICA,USERA,metro,metro,134.5
PRINCIPE DE VERGARA,RETIRO,metro,metro,79.5
PRINCIPE PIO,PUERTA DEL ANGEL,metro,metro,161.5
PUEBLO NUEVO,QUINTANA,metro,metro,82.0
PUERTA DE ARGANDA,RIVAS URBANIZACIONES,metro,metro,383.5
PUERTA DE ARGANDA,SAN CIPRIANO,metro,metro,88.0
PUERTA DEL SUR,SAN NICASIO,metro,metro,302.0
QUEVEDO,SAN BERNARDO,metro,metro,42.0
RIVAS FUTURA,RIVAS URBANIZACIONES,metro,metro,233.5
RIVAS FUTURA,RIVAS VACIAMADRID,metro,metro,105.0
SAN BLAS,SIMANCAS,metro,metro,109.5
SAN CIPRIANO,VICALVARO,metro,metro,68.0
SAN CRISTOBAL,VILLAVERDE ALTO,metro,metro,247.0
SAN CRISTOBAL,VILLAVERDE BAJO CRUCE,metro,metro,153.5
SERRANO,VELAZQUEZ,metro,metro,58.5
SEVILLA,SOL,metro,metro,51.0
SIERRA DE GUADALUPE,VILLA DE VALLECAS,metro,metro,79.5
SOL,TIRSO DE MOLINA,metro,metro,106.5
SUANZES,TORRE ARIAS,metro,metro,119.0
TETUAN,VALDEACEDERAS,metro,metro,87.5
VALDEBERNARDO,VICALVARO,metro,metro,187.0
ABRANTES,OPAÑEL,urban,urban,202.47822222222223
ABRANTES,OPORTO,urban,urban,255.24562737642583
ABRANTES,PAN BENDITO,urban,urban,265.18554396423247
ABRANTES,PLAZA ELIPTICA,urban,urban,174.34194214876032
ACACIAS,EMBAJADORES,urban,urban,135.1377037807839
ACACIAS,LEGAZPI,urban,urban,781.7833037300178
ACACIAS,PIRAMIDES,urban,urban,122.44591679506934
ACACIAS,PUERTA DE TOLEDO,urban,urban,142.89623865110246
AEROPUERTO T-4,AEROPUERTO T1-T2-T3,urban,urban,693.9974446337309
AEROPUERTO T1-T2-T3,ALAMEDA DE OSUNA,urban,urban,518.7939110070257
AEROPUERTO T1-T2-T3,BARAJAS,urban,urban,415.9906323185012
AEROPUERTO T1-T2-T3,CANILLEJAS,urban,urban,558.9842931937172
AEROPUERTO T1-T2-T3,ODONNELL,urban,urban,1467.7004991680533
ALAMEDA DE OSUNA,BARAJAS,urban,urban,748.5806451612904
ALAMEDA DE OSUNA,CANILLEJAS,urban,urban,794.5849056603773
ALAMEDA DE OSUNA,EL CAPRICHO,urban,urban,191.6872473355384
ALAMEDA DE OSUNA,FERIA DE MADRID,urban,urban,1119.1039260969976
ALFONSO XIII,AVENIDA DE LA PAZ,urban,urban,270.0726511981742
ALFONSO XIII,CARTAGENA,urban,urban,368.0840707964602
ALFONSO XIII,CONCHA ESPINA,urban,urban,310.36806342015853
ALFONSO XIII,PARQUE DE LAS AVENIDAS,urban,urban,464.5871794871794
ALFONSO XIII,PROSPERIDAD,urban,urban,208.17844827586208
ALMENDRALES,HOSPITAL 12 DE OCTUBRE,urban,urban,326.9330992098332
ALMENDRALES,LEGAZPI,urban,urban,281.27707740273826
ALMENDRALES,SAN FERMIN-ORCASUR,urban,urban,1928.59797979798
ALMENDRALES,USERA,urban,urban,191.5782828282828
ALONSO CANO,CANAL,urban,urban,141.00728155339806
ALONSO CANO,GREGORIO MARAÑON,urban,urban,183.1300448430493
ALONSO CANO,IGLESIA,urban,urban,170.53168044077134
ALONSO CANO,NUEVOS MINISTERIOS,urban,urban,301.963133640553
ALONSO CANO,RIOS ROSAS,urban,urban,86.49104618284638
ALONSO MARTINEZ,BILBAO,urban,urban,219.434635793536
ALONSO MARTINEZ,CHUECA,urban,urban,164.95437956204378
ALONSO MARTINEZ,COLON,urban,urban,131.29232111692843
ALONSO MARTINEZ,IGLESIA,urban,urban,223.41884816753927
ALONSO MARTINEZ,RUBEN DARIO,urban,urban,191.7582644628099
ALSACIA,AVENIDA DE GUADALAJARA,urban,urban,232.09711406321577
ALSACIA,GARCIA NOBLEJAS,urban,urban,296.4089635854341
ALSACIA,LA ALMUDENA,urban,urban,367.2803571428572
ALSACIA,ODONNELL,urban,urban,829.6750392464678
ALSACIA,PAVONES,urban,urban,687.1947791164658
ALSACIA,SAN BLAS,urban,urban,293.25992779783394
ALSACIA,SIMANCAS,urban,urban,234.4027134348113
ALTO DE EXTREMADURA,BATAN,urban,urban,541.5172413793103
ALTO DE EXTREMADURA,LUCERO,urban,urban,228.7147806004619
ALTO DE EXTREMADURA,PUERTA DEL ANGEL,urban,urban,280.8478260869565
ALTO DEL ARENAL,BUENOS AIRES,urban,urban,291.513969910961
ALTO DEL ARENAL,MIGUEL HERNANDEZ,urban,urban,204.1933962264151
ALTO DEL ARENAL,PAVONES,urban,urban,443.9471007121058
ALTO DEL ARENAL,PORTAZGO,urban,urban,1348.2337917485263
ALUCHE,AVIACION ESPAÑOLA,urban,urban,927.7204007285976
ALUCHE,CAMPAMENTO,urban,urban,331.581589958159
ALUCHE,CARABANCHEL ALTO,urban,urban,552.7610976594027
ALUCHE,CARPETANA,urban,urban,914.5842696629212
ALUCHE,CASA DE CAMPO,urban,urban,549.2403846153846
ALUCHE,EMPALME,urban,urban,245.38311688311688
ALUCHE,EUGENIA DE MONTIJO,urban,urban,392.14866863905326
ALUCHE,LA PESETA,urban,urban,959.4655172413792
ALUCHE,LUCERO,urban,urban,821.8069620253165
ALVARADO,CUATRO CAMINOS,urban,urban,133.12602662135373
ALVARADO,ESTRECHO,urban,urban,149.46302546793495
ALVARADO,FRANCOS RODRIGUEZ,urban,urban,309.2960893854749
ALVARADO,GUZMAN EL BUENO,urban,urban,56.56603773584906
ANTON MARTIN,ESTACION DEL ARTE,urban,urban,210.9216274089936
ANTON MARTIN,SEVILLA,urban,urban,301.6725663716814
ANTON MARTIN,TIRSO DE MOLINA,urban,urban,162.6264800861141
ANTONIO MACHADO,FRANCOS RODRIGUEZ,urban,urban,676.0
ANTONIO MACHADO,PEÑAGRANDE,urban,urban,197.05726573110005
ANTONIO MACHADO,VALDEACEDERAS,urban,urban,573.9156862745098
ANTONIO MACHADO,VALDEZARZA,urban,urban,335.36877206747744
ANTONIO MACHADO,VENTILLA,urban,urban,441.7178502879079
ARGANZUELA-PLANETARIO,LEGAZPI,urban,urban,276.23353293413174
ARGANZUELA-PLANETARIO,MENDEZ ALVARO,urban,urban,318.9033361847733
ARGÜELLES,CANAL,urban,urban,281.48285714285714
ARGÜELLES,ISLAS FILIPINAS,urban,urban,332.1482558139535
ARGÜELLES,MONCLOA,urban,urban,213.94945677846007
ARGÜELLES,QUEVEDO,urban,urban,313.6938775510204
ARGÜELLES,SAN BERNARDO,urban,urban,308.03306727480043
ARGÜELLES,VENTURA RODRIGUEZ,urban,urban,187.49062908615429
ARROYOFRESNO,CIUDAD UNIVERSITARIA,urban,urban,1963.9336870026525
ARROYOFRESNO,LACOMA,urban,urban,516.2197802197802
ARROYOFRESNO,MIRASIERRA,urban,urban,261.94477911646584
ARROYOFRESNO,PACO DE LUCIA,urban,urban,402.6072874493927
ARROYOFRESNO,PITIS,urban,urban,106.01669520547944
ARTILLEROS,PAVONES,urban,urban,561.3987359954036
ARTILLEROS,VINATEROS,urban,urban,434.80494110887673
ARTURO SORIA,AVENIDA DE LA PAZ,urban,urban,205.04780876494024
ARTURO SORIA,BARRIO DE LA CONCEPCION,urban,urban,512.3661016949153
ARTURO SORIA,CIUDAD LINEAL,urban,urban,616.4942084942085
ARTURO SORIA,COLOMBIA,urban,urban,706.7420289855072
ARTURO SORIA,ESPERANZA,urban,urban,319.1487263763353
ARTURO SORIA,PINAR DEL REY,urban,urban,419.9012605042017
ARTURO SORIA,PIO XII,urban,urban,600.9227799227799
ASCAO,GARCIA NOBLEJAS,urban,urban,255.00174367916304
ASCAO,LA ALMUDENA,urban,urban,299.7814371257485
