stop1,stop2,transporte1,transporte2
ABRANTES,PAN BENDITO,metro,metro
ABRANTES,PLAZA ELIPTICA,metro,metro
ACACIAS,PIRAMIDES,metro,metro
ACACIAS,PUERTA DE TOLEDO,metro,metro
AEROPUERTO T-4,BARAJAS,metro,metro
AEROPUERTO T1-T2-T3,BARAJAS,metro,metro
AEROPUERTO T1-T2-T3,FERIA DE MADRID,metro,metro
ALAMEDA DE OSUNA,EL CAPRICHO,metro,metro
ALCORCON CENTRAL,PARQUE LISBOA,metro,metro
ALCORCON CENTRAL,PARQUE OESTE,metro,metro
ALFONSO XIII,AVENIDA DE LA PAZ,metro,metro
ALFONSO XIII,PROSPERIDAD,metro,metro
ALMENDRALES,HOSPITAL 12 DE OCTUBRE,metro,metro
ALMENDRALES,LEGAZPI,metro,metro
ALONSO CANO,CANAL,metro,metro
ALONSO CANO,GREGORIO MARAÑON,metro,metro
ALONSO DE MENDOZA,CONSERVATORIO,metro,metro
ALONSO DE MENDOZA,GETAFE CENTRAL,metro,metro
ALONSO MARTINEZ,BILBAO,metro,metro
ALONSO MARTINEZ,CHUECA,metro,metro
ALONSO MARTINEZ,COLON,metro,metro
ALONSO MARTINEZ,GREGORIO MARAÑON,metro,metro
ALONSO MARTINEZ,RUBEN DARIO,metro,metro
ALONSO MARTINEZ,TRIBUNAL,metro,metro
ALSACIA,AVENIDA DE GUADALAJARA,metro,metro
ALSACIA,LA ALMUDENA,metro,metro
ALTO DE EXTREMADURA,LUCERO,metro,metro
ALTO DE EXTREMADURA,PUERTA DEL ANGEL,metro,metro
ALTO DEL ARENAL,BUENOS AIRES,metro,metro
ALTO DEL ARENAL,MIGUEL HERNANDEZ,metro,metro
ALUCHE,EMPALME,metro,metro
ALUCHE,EUGENIA DE MONTIJO,metro,metro
ALVARADO,CUATRO CAMINOS,metro,metro
ALVARADO,ESTRECHO,metro,metro
ANTON MARTIN,ESTACION DEL ARTE,metro,metro
ANTON MARTIN,TIRSO DE MOLINA,metro,metro
ANTONIO MACHADO,PEÑAGRANDE,metro,metro
ANTONIO MACHADO,VALDEZARZA,metro,metro
ARGANDA DEL REY,LA POVEDA,metro,metro
ARGANZUELA-PLANETARIO,LEGAZPI,metro,metro
ARGANZUELA-PLANETARIO,MENDEZ ALVARO,metro,metro
ARGÜELLES,MONCLOA,metro,metro
ARGÜELLES,PRINCIPE PIO,metro,metro
ARGÜELLES,SAN BERNARDO,metro,metro
ARGÜELLES,VENTURA RODRIGUEZ,metro,metro
ARROYO CULEBRO,CONSERVATORIO,metro,metro
ARROYO CULEBRO,PARQUE DE LOS ESTADOS,metro,metro
ARROYOFRESNO,LACOMA,metro,metro
ARROYOFRESNO,PITIS,metro,metro
ARTILLEROS,PAVONES,metro,metro
ARTILLEROS,VINATEROS,metro,metro
ARTURO SORIA,AVENIDA DE LA PAZ,metro,metro
ARTURO SORIA,ESPERANZA,metro,metro
ASCAO,GARCIA NOBLEJAS,metro,metro
ASCAO,PUEBLO NUEVO,metro,metro
ATOCHA,ESTACION DEL ARTE,metro,metro
ATOCHA,MENENDEZ PELAYO,metro,metro
AVENIDA DE AMERICA,CARTAGENA,metro,metro
AVENIDA DE AMERICA,CRUZ DEL RAYO,metro,metro
AVENIDA DE AMERICA,DIEGO DE LEON,metro,metro
AVENIDA DE AMERICA,GREGORIO MARAÑON,metro,metro
AVENIDA DE AMERICA,NUÑEZ DE BALBOA,metro,metro
AVENIDA DE AMERICA,PROSPERIDAD,metro,metro
AVENIDA DE AMERICA,REPUBLICA ARGENTINA,metro,metro
AVENIDA DE GUADALAJARA,LAS ROSAS,metro,metro
AVENIDA DE LA ILUSTRACION,LACOMA,metro,metro
AVENIDA DE LA ILUSTRACION,PEÑAGRANDE,metro,metro
AVIACION ESPAÑOLA,COLONIA JARDIN,metro,metro
AVIACION ESPAÑOLA,CUATRO VIENTOS,metro,metro
BAMBU,CHAMARTIN,metro,metro
BAMBU,PINAR DE CHAMARTIN,metro,metro
BANCO DE ESPAÑA,RETIRO,metro,metro
BANCO DE ESPAÑA,SEVILLA,metro,metro
BARRIO DE LA CONCEPCION,PARQUE DE LAS AVENIDAS,metro,metro
BARRIO DE LA CONCEPCION,PUEBLO NUEVO,metro,metro
BARRIO DEL PILAR,HERRERA ORIA,metro,metro
BARRIO DEL PILAR,VENTILLA,metro,metro
BARRIO DEL PUERTO,COSLADA CENTRAL,metro,metro
BARRIO DEL PUERTO,ESTADIO METROPOLITANO,metro,metro
BATAN,CASA DE CAMPO,metro,metro
BATAN,LAGO,metro,metro
BAUNATAL,MANUEL DE FALLA,metro,metro
BAUNATAL,REYES CATOLICOS,metro,metro
BEGOÑA,CHAMARTIN,metro,metro
BEGOÑA,FUENCARRAL,metro,metro
BILBAO,IGLESIA,metro,metro
BILBAO,SAN BERNARDO,metro,metro
BILBAO,TRIBUNAL,metro,metro
BUENOS AIRES,PORTAZGO,metro,metro
CALLAO,GRAN VIA,metro,metro
CALLAO,OPERA,metro,metro
CALLAO,PLAZA DE ESPAÑA,metro,metro
CALLAO,SOL,metro,metro
CAMPAMENTO,CASA DE CAMPO,metro,metro
CAMPAMENTO,EMPALME,metro,metro
CANAL,CUATRO CAMINOS,metro,metro
CANAL,ISLAS FILIPINAS,metro,metro
CANAL,QUEVEDO,metro,metro
CANILLAS,ESPERANZA,metro,metro
CANILLAS,MAR DE CRISTAL,metro,metro
CANILLEJAS,EL CAPRICHO,metro,metro
CANILLEJAS,TORRE ARIAS,metro,metro
CARABANCHEL,EUGENIA DE MONTIJO,metro,metro
CARABANCHEL,VISTA ALEGRE,metro,metro
CARABANCHEL ALTO,LA PESETA,metro,metro
CARABANCHEL ALTO,SAN FRANCISCO,metro,metro
CARPETANA,LAGUNA,metro,metro
CARPETANA,OPORTO,metro,metro
CARTAGENA,PARQUE DE LAS AVENIDAS,metro,metro
CASA DE CAMPO,COLONIA JARDIN,metro,metro
CASA DEL RELOJ,HOSPITAL SEVERO OCHOA,metro,metro
CASA DEL RELOJ,JULIAN BESTEIRO,metro,metro
CHAMARTIN,PLAZA DE CASTILLA,metro,metro
CHUECA,GRAN VIA,metro,metro
CIUDAD DE LOS ANGELES,SAN FERMIN-ORCASUR,metro,metro
CIUDAD DE LOS ANGELES,VILLAVERDE BAJO CRUCE,metro,metro
CIUDAD LINEAL,PUEBLO NUEVO,metro,metro
CIUDAD LINEAL,SUANZES,metro,metro
CIUDAD UNIVERSITARIA,MONCLOA,metro,metro
CIUDAD UNIVERSITARIA,VICENTE ALEIXANDRE,metro,metro
COLOMBIA,CONCHA ESPINA,metro,metro
COLOMBIA,NUEVOS MINISTERIOS,metro,metro
COLOMBIA,PINAR DEL REY,metro,metro
COLOMBIA,PIO XII,metro,metro
COLON,SERRANO,metro,metro
CONCHA ESPINA,CRUZ DEL RAYO,metro,metro
CONDE DE CASAL,PACIFICO,metro,metro
CONDE DE CASAL,SAINZ DE BARANDA,metro,metro
CONGOSTO,LA GAVIA,metro,metro
CONGOSTO,VILLA DE VALLECAS,metro,metro
COSLADA CENTRAL,LA RAMBLA,metro,metro
CUATRO CAMINOS,GUZMAN EL BUENO,metro,metro
CUATRO CAMINOS,NUEVOS MINISTERIOS,metro,metro
CUATRO CAMINOS,RIOS ROSAS,metro,metro
CUATRO VIENTOS,JOAQUIN VILUMBRALES,metro,metro
CUZCO,PLAZA DE CASTILLA,metro,metro
CUZCO,SANTIAGO BERNABEU,metro,metro
DELICIAS,LEGAZPI,metro,metro
DELICIAS,PALOS DE LA FRONTERA,metro,metro
DIEGO DE LEON,LISTA,metro,metro
DIEGO DE LEON,MANUEL BECERRA,metro,metro
DIEGO DE LEON,NUÑEZ DE BALBOA,metro,metro
DIEGO DE LEON,VENTAS,metro,metro
DUQUE DE PASTRANA,PIO XII,metro,metro
DUQUE DE PASTRANA,PLAZA DE CASTILLA,metro,metro
EL BERCIAL,EL CARRASCAL,metro,metro
EL BERCIAL,LOS ESPARTALES,metro,metro
EL CARMEN,QUINTANA,metro,metro
EL CARMEN,VENTAS,metro,metro
EL CARRASCAL,JULIAN BESTEIRO,metro,metro
EL CASAR,JUAN DE LA CIERVA,metro,metro
EL CASAR,LOS ESPARTALES,metro,metro
EMBAJADORES,LAVAPIES,metro,metro
EMBAJADORES,PALOS DE LA FRONTERA,metro,metro
ESTADIO METROPOLITANO,LAS MUSAS,metro,metro
ESTRECHO,TETUAN,metro,metro
ESTRELLA,SAINZ DE BARANDA,metro,metro
ESTRELLA,VINATEROS,metro,metro
FERIA DE MADRID,MAR DE CRISTAL,metro,metro
FRANCOS RODRIGUEZ,GUZMAN EL BUENO,metro,metro
FRANCOS RODRIGUEZ,VALDEZARZA,metro,metro
FUENCARRAL,TRES OLIVOS,metro,metro
FUENLABRADA CENTRAL,PARQUE DE LOS ESTADOS,metro,metro
FUENLABRADA CENTRAL,PARQUE EUROPA,metro,metro
GARCIA NOBLEJAS,SIMANCAS,metro,metro
GETAFE CENTRAL,JUAN DE LA CIERVA,metro,metro
GOYA,LISTA,metro,metro
GOYA,MANUEL BECERRA,metro,metro
GOYA,PRINCIPE DE VERGARA,metro,metro
GOYA,VELAZQUEZ,metro,metro
GRAN VIA,SOL,metro,metro
GRAN VIA,TRIBUNAL,metro,metro
GREGORIO MARAÑON,NUEVOS MINISTERIOS,metro,metro
GUZMAN EL BUENO,ISLAS FILIPINAS,metro,metro
GUZMAN EL BUENO,VICENTE ALEIXANDRE,metro,metro
HENARES,HOSPITAL DEL HENARES,metro,metro
HENARES,JARAMA,metro,metro
HERRERA ORIA,MIRASIERRA,metro,metro
HORTALEZA,MANOTERAS,metro,metro
HORTALEZA,PARQUE DE SANTA MARIA,metro,metro
HOSPITAL 12 DE OCTUBRE,SAN FERMIN-ORCASUR,metro,metro
HOSPITAL DE FUENLABRADA,LORANCA,metro,metro
HOSPITAL DE FUENLABRADA,PARQUE EUROPA,metro,metro
HOSPITAL DE MOSTOLES,MANUELA MALASAÑA,metro,metro
HOSPITAL DE MOSTOLES,PRADILLO,metro,metro
HOSPITAL INFANTA SOFIA,REYES CATOLICOS,metro,metro
HOSPITAL SEVERO OCHOA,LEGANES CENTRAL,metro,metro
IBIZA,PRINCIPE DE VERGARA,metro,metro
IBIZA,SAINZ DE BARANDA,metro,metro
IGLESIA,RIOS ROSAS,metro,metro
JARAMA,SAN FERNANDO,metro,metro
JOAQUIN VILUMBRALES,PUERTA DEL SUR,metro,metro
LA ALMUDENA,LA ELIPA,metro,metro
LA ELIPA,VENTAS,metro,metro
LA FORTUNA,LA PESETA,metro,metro
LA GAVIA,LAS SUERTES,metro,metro
LA GRANJA,LA MORALEJA,metro,metro
LA GRANJA,RONDA DE LA COMUNICACION,metro,metro
LA LATINA,OPERA,metro,metro
LA LATINA,PUERTA DE TOLEDO,metro,metro
LA MORALEJA,MARQUES DE LA VALDAVIA,metro,metro
LA POVEDA,RIVAS VACIAMADRID,metro,metro
LA RAMBLA,SAN FERNANDO,metro,metro
LAGO,PRINCIPE PIO,metro,metro
LAGUNA,LUCERO,metro,metro
LAS MUSAS,SAN BLAS,metro,metro
LAS SUERTES,VALDECARROS,metro,metro
LAS TABLAS,MONTECARMELO,metro,metro
LAS TABLAS,RONDA DE LA COMUNICACION,metro,metro
LAVAPIES,SOL,metro,metro
LEGANES CENTRAL,SAN NICASIO,metro,metro
LEGAZPI,USERA,metro,metro
LORANCA,MANUELA MALASAÑA,metro,metro
MANOTERAS,PINAR DE CHAMARTIN,metro,metro
MANUEL BECERRA,ODONNELL,metro,metro
MANUEL BECERRA,VENTAS,metro,metro
MANUEL DE FALLA,MARQUES DE LA VALDAVIA,metro,metro
MAR DE CRISTAL,PINAR DEL REY,metro,metro
MAR DE CRISTAL,SAN LORENZO,metro,metro
MARQUES DE VADILLO,PIRAMIDES,metro,metro
MARQUES DE VADILLO,URGEL,metro,metro
MENDEZ ALVARO,PACIFICO,metro,metro
MENENDEZ PELAYO,PACIFICO,metro,metro
MIGUEL HERNANDEZ,SIERRA DE GUADALUPE,metro,metro
MIRASIERRA,PACO DE LUCIA,metro,metro
MONTECARMELO,TRES OLIVOS,metro,metro
MOSTOLES CENTRAL,PRADILLO,metro,metro
MOSTOLES CENTRAL,UNIVERSIDAD REY JUAN CARLOS,metro,metro
NOVICIADO,SAN BERNARDO,metro,metro
NOVICIADO,SANTO DOMINGO,metro,metro
NUEVA NUMANCIA,PORTAZGO,metro,metro
NUEVA NUMANCIA,PUENTE DE VALLECAS,metro,metro
NUEVOS MINISTERIOS,REPUBLICA ARGENTINA,metro,metro
NUEVOS MINISTERIOS,SANTIAGO BERNABEU,metro,metro
NUÑEZ DE BALBOA,PRINCIPE DE VERGARA,metro,metro
NUÑEZ DE BALBOA,RUBEN DARIO,metro,metro
ODONNELL,SAINZ DE BARANDA,metro,metro
OPAÑEL,OPORTO,metro,metro
OPAÑEL,PLAZA ELIPTICA,metro,metro
OPERA,PRINCIPE PIO,metro,metro
OPERA,SANTO DOMINGO,metro,metro
OPERA,SOL,metro,metro
OPORTO,URGEL,metro,metro
OPORTO,VISTA ALEGRE,metro,metro
PACIFICO,PUENTE DE VALLECAS,metro,metro
PAN BENDITO,SAN FRANCISCO,metro,metro
PARQUE DE SANTA MARIA,SAN LORENZO,metro,metro
PARQUE LISBOA,PUERTA DEL SUR,metro,metro
PARQUE OESTE,UNIVERSIDAD REY JUAN CARLOS,metro,metro
PAVONES,VALDEBERNARDO,metro,metro
PLAZA DE CASTILLA,VALDEACEDERAS,metro,metro
PLAZA DE CASTILLA,VENTILLA,metro,metro
PLAZA DE ESPAÑA,PRINCIPE PIO,metro,metro
PLAZA DE ESPAÑA,TRIBUNAL,metro,metro
PLAZA DE ESPAÑA,VENTURA RODRIGUEZ,metro,metro
PLAZA ELIPTICA,USERA,metro,metro
PRINCIPE DE VERGARA,RETIRO,metro,metro
PRINCIPE PIO,PUERTA DEL ANGEL,metro,metro
PUEBLO NUEVO,QUINTANA,metro,metro
PUERTA DE ARGANDA,RIVAS URBANIZACIONES,metro,metro
PUERTA DE ARGANDA,SAN CIPRIANO,metro,metro
PUERTA DEL SUR,SAN NICASIO,metro,metro
QUEVEDO,SAN BERNARDO,metro,metro
RIVAS FUTURA,RIVAS URBANIZACIONES,metro,metro
RIVAS FUTURA,RIVAS VACIAMADRID,metro,metro
SAN BLAS,SIMANCAS,metro,metro
SAN CIPRIANO,VICALVARO,metro,metro
SAN CRISTOBAL,VILLAVERDE ALTO,metro,metro
SAN CRISTOBAL,VILLAVERDE BAJO CRUCE,metro,metro
SERRANO,VELAZQUEZ,metro,metro
SEVILLA,SOL,metro,metro
SIERRA DE GUADALUPE,VILLA DE VALLECAS,metro,metro
SOL,TIRSO DE MOLINA,metro,metro
SUANZES,TORRE ARIAS,metro,metro
TETUAN,VALDEACEDERAS,metro,metro
VALDEBERNARDO,VICALVARO,metro,metro
ABRANTES,OPAÑEL,urban,urban
ABRANTES,OPORTO,urban,urban
ABRANTES,PAN BENDITO,urban,urban
ABRANTES,PLAZA ELIPTICA,urban,urban
ACACIAS,EMBAJADORES,urban,urban
ACACIAS,LEGAZPI,urban,urban
ACACIAS,PIRAMIDES,urban,urban
ACACIAS,PUERTA DE TOLEDO,urban,urban
AEROPUERTO T-4,AEROPUERTO T1-T2-T3,urban,urban
AEROPUERTO T1-T2-T3,ALAMEDA DE OSUNA,urban,urban
AEROPUERTO T1-T2-T3,BARAJAS,urban,urban
AEROPUERTO T1-T2-T3,CANILLEJAS,urban,urban
AEROPUERTO T1-T2-T3,ODONNELL,urban,urban
ALAMEDA DE OSUNA,BARAJAS,urban,urban
ALAMEDA DE OSUNA,CANILLEJAS,urban,urban
ALAMEDA DE OSUNA,EL CAPRICHO,urban,urban
ALAMEDA DE OSUNA,FERIA DE MADRID,urban,urban
ALFONSO XIII,AVENIDA DE LA PAZ,urban,urban
ALFONSO XIII,CARTAGENA,urban,urban
ALFONSO XIII,CONCHA ESPINA,urban,urban
ALFONSO XIII,PARQUE DE LAS AVENIDAS,urban,urban
ALFONSO XIII,PROSPERIDAD,urban,urban
ALMENDRALES,HOSPITAL 12 DE OCTUBRE,urban,urban
ALMENDRALES,LEGAZPI,urban,urban
ALMENDRALES,SAN FERMIN-ORCASUR,urban,urban
ALMENDRALES,USERA,urban,urban
ALONSO CANO,CANAL,urban,urban
ALONSO CANO,GREGORIO MARAÑON,urban,urban
ALONSO CANO,IGLESIA,urban,urban
ALONSO CANO,NUEVOS MINISTERIOS,urban,urban
ALONSO CANO,RIOS ROSAS,urban,urban
ALONSO MARTINEZ,BILBAO,urban,urban
ALONSO MARTINEZ,CHUECA,urban,urban
ALONSO MARTINEZ,COLON,urban,urban
ALONSO MARTINEZ,IGLESIA,urban,urban
ALONSO MARTINEZ,RUBEN DARIO,urban,urban
ALSACIA,AVENIDA DE GUADALAJARA,urban,urban
ALSACIA,GARCIA NOBLEJAS,urban,urban
ALSACIA,LA ALMUDENA,urban,urban
ALSACIA,ODONNELL,urban,urban
ALSACIA,PAVONES,urban,urban
ALSACIA,SAN BLAS,urban,urban
ALSACIA,SIMANCAS,urban,urban
ALTO DE EXTREMADURA,BATAN,urban,urban
ALTO DE EXTREMADURA,LUCERO,urban,urban
ALTO DE EXTREMADURA,PUERTA DEL ANGEL,urban,urban
ALTO DEL ARENAL,BUENOS AIRES,urban,urban
ALTO DEL ARENAL,MIGUEL HERNANDEZ,urban,urban
ALTO DEL ARENAL,PAVONES,urban,urban
ALTO DEL ARENAL,PORTAZGO,urban,urban
ALUCHE,AVIACION ESPAÑOLA,urban,urban
ALUCHE,CAMPAMENTO,urban,urban
ALUCHE,CARABANCHEL ALTO,urban,urban
ALUCHE,CARPETANA,urban,urban
ALUCHE,CASA DE CAMPO,urban,urban
ALUCHE,EMPALME,urban,urban
ALUCHE,EUGENIA DE MONTIJO,urban,urban
ALUCHE,LA PESETA,urban,urban
ALUCHE,LUCERO,urban,urban
ALVARADO,CUATRO CAMINOS,urban,urban
ALVARADO,ESTRECHO,urban,urban
ALVARADO,FRANCOS RODRIGUEZ,urban,urban
ALVARADO,GUZMAN EL BUENO,urban,urban
ANTON MARTIN,ESTACION DEL ARTE,urban,urban
ANTON MARTIN,SEVILLA,urban,urban
ANTON MARTIN,TIRSO DE MOLINA,urban,urban
ANTONIO MACHADO,FRANCOS RODRIGUEZ,urban,urban
ANTONIO MACHADO,PEÑAGRANDE,urban,urban
ANTONIO MACHADO,VALDEACEDERAS,urban,urban
ANTONIO MACHADO,VALDEZARZA,urban,urban
ANTONIO MACHADO,VENTILLA,urban,urban
ARGANZUELA-PLANETARIO,LEGAZPI,urban,urban
ARGANZUELA-PLANETARIO,MENDEZ ALVARO,urban,urban
ARGÜELLES,CANAL,urban,urban
ARGÜELLES,ISLAS FILIPINAS,urban,urban
ARGÜELLES,MONCLOA,urban,urban
ARGÜELLES,QUEVEDO,urban,urban
ARGÜELLES,SAN BERNARDO,urban,urban
ARGÜELLES,VENTURA RODRIGUEZ,urban,urban
ARROYOFRESNO,CIUDAD UNIVERSITARIA,urban,urban
ARROYOFRESNO,LACOMA,urban,urban
ARROYOFRESNO,MIRASIERRA,urban,urban
ARROYOFRESNO,PACO DE LUCIA,urban,urban
ARROYOFRESNO,PITIS,urban,urban
ARTILLEROS,PAVONES,urban,urban
ARTILLEROS,VINATEROS,urban,urban
ARTURO SORIA,AVENIDA DE LA PAZ,urban,urban
ARTURO SORIA,BARRIO DE LA CONCEPCION,urban,urban
ARTURO SORIA,CIUDAD LINEAL,urban,urban
ARTURO SORIA,COLOMBIA,urban,urban
ARTURO SORIA,ESPERANZA,urban,urban
ARTURO SORIA,PINAR DEL REY,urban,urban
ARTURO SORIA,PIO XII,urban,urban
ASCAO,GARCIA NOBLEJAS,urban,urban
ASCAO,LA ALMUDENA,urban,urban
ASCAO,LA ELIPA,urban,urban
ASCAO,PUEBLO NUEVO,urban,urban
ATOCHA,BANCO DE ESPAÑA,urban,urban
ATOCHA,ESTACION DEL ARTE,urban,urban
ATOCHA,MENDEZ ALVARO,urban,urban
ATOCHA,MENENDEZ PELAYO,urban,urban
ATOCHA,PALOS DE LA FRONTERA,urban,urban
ATOCHA,RETIRO,urban,urban
AVENIDA DE AMERICA,CANILLEJAS,urban,urban
AVENIDA DE AMERICA,CARTAGENA,urban,urban
AVENIDA DE AMERICA,CRUZ DEL RAYO,urban,urban
AVENIDA DE AMERICA,DIEGO DE LEON,urban,urban
AVENIDA DE AMERICA,GREGORIO MARAÑON,urban,urban
AVENIDA DE AMERICA,NUÑEZ DE BALBOA,urban,urban
AVENIDA DE AMERICA,PARQUE DE LAS AVENIDAS,urban,urban
AVENIDA DE AMERICA,REPUBLICA ARGENTINA,urban,urban
AVENIDA DE AMERICA,RUBEN DARIO,urban,urban
AVENIDA DE GUADALAJARA,LAS ROSAS,urban,urban
AVENIDA DE GUADALAJARA,SAN BLAS,urban,urban
AVENIDA DE GUADALAJARA,VICALVARO,urban,urban
AVENIDA DE LA ILUSTRACION,CIUDAD UNIVERSITARIA,urban,urban
AVENIDA DE LA ILUSTRACION,HERRERA ORIA,urban,urban
AVENIDA DE LA ILUSTRACION,LACOMA,urban,urban
AVENIDA DE LA ILUSTRACION,MIRASIERRA,urban,urban
AVENIDA DE LA ILUSTRACION,PEÑAGRANDE,urban,urban
AVENIDA DE LA ILUSTRACION,VALDEZARZA,urban,urban
AVENIDA DE LA PAZ,BARRIO DE LA CONCEPCION,urban,urban
AVENIDA DE LA PAZ,COLOMBIA,urban,urban
AVIACION ESPAÑOLA,CAMPAMENTO,urban,urban
AVIACION ESPAÑOLA,CARABANCHEL ALTO,urban,urban
AVIACION ESPAÑOLA,CUATRO VIENTOS,urban,urban
BAMBU,DUQUE DE PASTRANA,urban,urban
BAMBU,PINAR DE CHAMARTIN,urban,urban
BANCO DE ESPAÑA,CHUECA,urban,urban
BANCO DE ESPAÑA,COLON,urban,urban
BANCO DE ESPAÑA,ESTACION DEL ARTE,urban,urban
BANCO DE ESPAÑA,GRAN VIA,urban,urban
BANCO DE ESPAÑA,ODONNELL,urban,urban
BANCO DE ESPAÑA,RETIRO,urban,urban
BANCO DE ESPAÑA,SEVILLA,urban,urban
BARRIO DE LA CONCEPCION,EL CARMEN,urban,urban
BARRIO DE LA CONCEPCION,PARQUE DE LAS AVENIDAS,urban,urban
BARRIO DE LA CONCEPCION,PUEBLO NUEVO,urban,urban
BARRIO DE LA CONCEPCION,QUINTANA,urban,urban
BARRIO DEL PILAR,BEGOÑA,urban,urban
BARRIO DEL PILAR,CHAMARTIN,urban,urban
BARRIO DEL PILAR,HERRERA ORIA,urban,urban
BARRIO DEL PILAR,PEÑAGRANDE,urban,urban
BARRIO DEL PILAR,VENTILLA,urban,urban
BATAN,CASA DE CAMPO,urban,urban
BATAN,LUCERO,urban,urban
BEGOÑA,CHAMARTIN,urban,urban
BEGOÑA,FUENCARRAL,urban,urban
BEGOÑA,HERRERA ORIA,urban,urban
BEGOÑA,LAS TABLAS,urban,urban
BEGOÑA,PACO DE LUCIA,urban,urban
BEGOÑA,PLAZA DE CASTILLA,urban,urban
BEGOÑA,TRES OLIVOS,urban,urban
BILBAO,IGLESIA,urban,urban
BILBAO,QUEVEDO,urban,urban
BILBAO,SAN BERNARDO,urban,urban
BILBAO,TRIBUNAL,urban,urban
BUENOS AIRES,CONDE DE CASAL,urban,urban
BUENOS AIRES,NUEVA NUMANCIA,urban,urban
BUENOS AIRES,PORTAZGO,urban,urban
CALLAO,GRAN VIA,urban,urban
CALLAO,NOVICIADO,urban,urban
CALLAO,PLAZA DE ESPAÑA,urban,urban
CALLAO,SANTO DOMINGO,urban,urban
CALLAO,TRIBUNAL,urban,urban
CAMPAMENTO,CASA DE CAMPO,urban,urban
CAMPAMENTO,COLONIA JARDIN,urban,urban
