stop,transporte
ABRANTES,metro
ACACIAS,metro
AEROPUERTO T-4,metro
AEROPUERTO T1-T2-T3,metro
ALAMEDA DE OSUNA,metro
ALCORCON CENTRAL,metro
ALFONSO XIII,metro
ALMENDRALES,metro
ALONSO CANO,metro
ALONSO DE MENDOZA,metro
ALONSO MARTINEZ,metro
ALSACIA,metro
ALTO DE EXTREMADURA,metro
ALTO DEL ARENAL,metro
ALUCHE,metro
ALVARADO,metro
ANTON MARTIN,metro
ANTONIO MACHADO,metro
ARGANDA DEL REY,metro
ARGANZUELA-PLANETARIO,metro
ARGÜELLES,metro
ARROYO CULEBRO,metro
ARROYOFRESNO,metro
ARTILLEROS,metro
ARTURO SORIA,metro
ASCAO,metro
ATOCHA,metro
AVENIDA DE AMERICA,metro
AVENIDA DE GUADALAJARA,metro
AVENIDA DE LA ILUSTRACION,metro
AVIACION ESPAÑOLA,metro
BAMBU,metro
BANCO DE ESPAÑA,metro
BARRIO DE LA CONCEPCION,metro
BARRIO DEL PILAR,metro
BARRIO DEL PUERTO,metro
BATAN,metro
BAUNATAL,metro
BEGOÑA,metro
BILBAO,metro
BUENOS AIRES,metro
CALLAO,metro
CAMPAMENTO,metro
CANAL,metro
CANILLAS,metro
CANILLEJAS,metro
CARABANCHEL,metro
CARABANCHEL ALTO,metro
CARPETANA,metro
CARTAGENA,metro
CASA DE CAMPO,metro
CASA DEL RELOJ,metro
CHAMARTIN,metro
CHUECA,metro
CIUDAD DE LOS ANGELES,metro
CIUDAD LINEAL,metro
CIUDAD UNIVERSITARIA,metro
COLOMBIA,metro
COLON,metro
CONCHA ESPINA,metro
CONDE DE CASAL,metro
CONGOSTO,metro
COSLADA CENTRAL,metro
CUATRO CAMINOS,metro
CUATRO VIENTOS,metro
CUZCO,metro
DELICIAS,metro
DIEGO DE LEON,metro
DUQUE DE PASTRANA,metro
EL BERCIAL,metro
EL CARMEN,metro
EL CARRASCAL,metro
EL CASAR,metro
EMBAJADORES,metro
ESTADIO METROPOLITANO,metro
ESTRECHO,metro
ESTRELLA,metro
FERIA DE MADRID,metro
FRANCOS RODRIGUEZ,metro
FUENCARRAL,metro
FUENLABRADA CENTRAL,metro
GARCIA NOBLEJAS,metro
GETAFE CENTRAL,metro
GOYA,metro
GRAN VIA,metro
GREGORIO MARAÑON,metro
GUZMAN EL BUENO,metro
HENARES,metro
HERRERA ORIA,metro
HORTALEZA,metro
HOSPITAL 12 DE OCTUBRE,metro
HOSPITAL DE FUENLABRADA,metro
HOSPITAL DE MOSTOLES,metro
HOSPITAL INFANTA SOFIA,metro
HOSPITAL SEVERO OCHOA,metro
IBIZA,metro
IGLESIA,metro
JARAMA,metro
JOAQUIN VILUMBRALES,metro
LA ALMUDENA,metro
LA ELIPA,metro
LA FORTUNA,metro
LA GAVIA,metro
LA GRANJA,metro
LA LATINA,metro
LA MORALEJA,metro
LA POVEDA,metro
LA RAMBLA,metro
LAGO,metro
LAGUNA,metro
LAS MUSAS,metro
LAS SUERTES,metro
LAS TABLAS,metro
LAVAPIES,metro
LEGANES CENTRAL,metro
LEGAZPI,metro
LORANCA,metro
MANOTERAS,metro
MANUEL BECERRA,metro
MANUEL DE FALLA,metro
MAR DE CRISTAL,metro
MARQUES DE VADILLO,metro
MENDEZ ALVARO,metro
MENENDEZ PELAYO,metro
MIGUEL HERNANDEZ,metro
MIRASIERRA,metro
MONTECARMELO,metro
MOSTOLES CENTRAL,metro
NOVICIADO,metro
NUEVA NUMANCIA,metro
NUEVOS MINISTERIOS,metro
NUÑEZ DE BALBOA,metro
ODONNELL,metro
OPAÑEL,metro
OPERA,metro
OPORTO,metro
PACIFICO,metro
PAN BENDITO,metro
PARQUE DE SANTA MARIA,metro
PARQUE LISBOA,metro
PARQUE OESTE,metro
PAVONES,metro
PLAZA DE CASTILLA,metro
PLAZA DE ESPAÑA,metro
PLAZA ELIPTICA,metro
PRINCIPE DE VERGARA,metro
PRINCIPE PIO,metro
PUEBLO NUEVO,metro
PUERTA DE ARGANDA,metro
PUERTA DEL SUR,metro
QUEVEDO,metro
RIVAS FUTURA,metro
SAN BLAS,metro
SAN CIPRIANO,metro
SAN CRISTOBAL,metro
SERRANO,metro
SEVILLA,metro
SIERRA DE GUADALUPE,metro
SOL,metro
SUANZES,metro
TETUAN,metro
VALDEBERNARDO,metro
ABRANTES,urban
ACACIAS,urban
AEROPUERTO T-4,urban
AEROPUERTO T1-T2-T3,urban
ALAMEDA DE OSUNA,urban
ALFONSO XIII,urban
ALMENDRALES,urban
ALONSO CANO,urban
ALONSO MARTINEZ,urban
ALSACIA,urban
ALTO DE EXTREMADURA,urban
ALTO DEL ARENAL,urban
ALUCHE,urban
ALVARADO,urban
ANTON MARTIN,urban
ANTONIO MACHADO,urban
ARGANZUELA-PLANETARIO,urban
ARGÜELLES,urban
ARROYOFRESNO,urban
ARTILLEROS,urban
ARTURO SORIA,urban
ASCAO,urban
ATOCHA,urban
AVENIDA DE AMERICA,urban
AVENIDA DE GUADALAJARA,urban
AVENIDA DE LA ILUSTRACION,urban
AVENIDA DE LA PAZ,urban
AVIACION ESPAÑOLA,urban
BAMBU,urban
BANCO DE ESPAÑA,urban
BARRIO DE LA CONCEPCION,urban
BARRIO DEL PILAR,urban
BATAN,urban
BEGOÑA,urban
BILBAO,urban
BUENOS AIRES,urban
CALLAO,urban
CAMPAMENTO,urban
CANAL,urban
CANILLAS,urban
CANILLEJAS,urban
CARABANCHEL,urban
CARABANCHEL ALTO,urban
CARPETANA,urban
CARTAGENA,urban
CASA DE CAMPO,urban
CHAMARTIN,urban
CHUECA,urban
CIUDAD DE LOS ANGELES,urban
CIUDAD LINEAL,urban
CIUDAD UNIVERSITARIA,urban
COLOMBIA,urban
COLON,urban
COLONIA JARDIN,urban
CONCHA ESPINA,urban
CONDE DE CASAL,urban
CONGOSTO,urban
CRUZ DEL RAYO,urban
CUATRO CAMINOS,urban
CUZCO,urban
DELICIAS,urban
DIEGO DE LEON,urban
DUQUE DE PASTRANA,urban
EL CARMEN,urban
EMBAJADORES,urban
EMPALME,urban
ESPERANZA,urban
ESTACION DEL ARTE,urban
ESTADIO METROPOLITANO,urban
ESTRECHO,urban
ESTRELLA,urban
FERIA DE MADRID,urban
FRANCOS RODRIGUEZ,urban
FUENCARRAL,urban
GARCIA NOBLEJAS,urban
GOYA,urban
GRAN VIA,urban
GREGORIO MARAÑON,urban
GUZMAN EL BUENO,urban
HERRERA ORIA,urban
HORTALEZA,urban
HOSPITAL 12 DE OCTUBRE,urban
IBIZA,urban
IGLESIA,urban
ISLAS FILIPINAS,urban
LA ALMUDENA,urban
LA ELIPA,urban
LA GAVIA,urban
LA LATINA,urban
LA PESETA,urban
LACOMA,urban
LAGUNA,urban
LAS MUSAS,urban
LAS SUERTES,urban
LAS TABLAS,urban
LAVAPIES,urban
LEGAZPI,urban
LISTA,urban
LUCERO,urban
MANOTERAS,urban
MANUEL BECERRA,urban
MAR DE CRISTAL,urban
MARQUES DE VADILLO,urban
MENDEZ ALVARO,urban
MENENDEZ PELAYO,urban
MIGUEL HERNANDEZ,urban
MIRASIERRA,urban
MONTECARMELO,urban
NOVICIADO,urban
NUEVA NUMANCIA,urban
NUEVOS MINISTERIOS,urban
NUÑEZ DE BALBOA,urban
ODONNELL,urban
OPAÑEL,urban
OPERA,urban
OPORTO,urban
PACIFICO,urban
PACO DE LUCIA,urban
PALOS DE LA FRONTERA,urban
PAN BENDITO,urban
PARQUE DE LAS AVENIDAS,urban
PARQUE DE SANTA MARIA,urban
PAVONES,urban
PINAR DE CHAMARTIN,urban
PIRAMIDES,urban
PLAZA DE CASTILLA,urban
PLAZA DE ESPAÑA,urban
PLAZA ELIPTICA,urban
PRINCIPE DE VERGARA,urban
PRINCIPE PIO,urban
PUENTE DE VALLECAS,urban
PUERTA DE ARGANDA,urban
PUERTA DE TOLEDO,urban
REPUBLICA ARGENTINA,urban
RETIRO,urban
RUBEN DARIO,urban
SAN BERNARDO,urban
SAN BLAS,urban
SAN CIPRIANO,urban
SAN CRISTOBAL,urban
SAN FERMIN-ORCASUR,urban
SERRANO,urban
SEVILLA,urban
SIERRA DE GUADALUPE,urban
SIMANCAS,urban
SOL,urban
SUANZES,urban
TETUAN,urban
VALDEACEDERAS,urban
VALDEBERNARDO,urban
VILLAVERDE ALTO,urban
ABRANTES,interurban
AEROPUERTO T-4,interurban
AEROPUERTO T1-T2-T3,interurban
ALAMEDA DE OSUNA,interurban
ALCORCON CENTRAL,interurban
ALMENDRALES,interurban
ALONSO DE MENDOZA,interurban
ALSACIA,interurban
ALUCHE,interurban
ARGANDA DEL REY,interurban
ARROYO CULEBRO,interurban
ATOCHA,interurban
AVENIDA DE AMERICA,interurban
AVENIDA DE GUADALAJARA,interurban
AVENIDA DE LA ILUSTRACION,interurban
AVIACION ESPAÑOLA,interurban
BAMBU,interurban
BARAJAS,interurban
BARRIO DEL PUERTO,interurban
BAUNATAL,interurban
BEGOÑA,interurban
CAMPAMENTO,interurban
CANILLEJAS,interurban
CARABANCHEL,interurban
CARABANCHEL ALTO,interurban
CARTAGENA,interurban
CASA DEL RELOJ,interurban
CHAMARTIN,interurban
CIUDAD DE LOS ANGELES,interurban
CIUDAD LINEAL,interurban
CIUDAD UNIVERSITARIA,interurban
COLONIA JARDIN,interurban
CONSERVATORIO,interurban
COSLADA CENTRAL,interurban
CUATRO VIENTOS,interurban
DELICIAS,interurban
EL BERCIAL,interurban
EL CAPRICHO,interurban
EL CARRASCAL,interurban
EL CASAR,interurban
ESTACION DEL ARTE,interurban
ESTADIO METROPOLITANO,interurban
FUENCARRAL,interurban
FUENLABRADA CENTRAL,interurban
GARCIA NOBLEJAS,interurban
GETAFE CENTRAL,interurban
HENARES,interurban
HOSPITAL 12 DE OCTUBRE,interurban
HOSPITAL DE FUENLABRADA,interurban
HOSPITAL DE MOSTOLES,interurban
HOSPITAL DEL HENARES,interurban
HOSPITAL INFANTA SOFIA,interurban
HOSPITAL SEVERO OCHOA,interurban
JARAMA,interurban
JOAQUIN VILUMBRALES,interurban
JUAN DE LA CIERVA,interurban
JULIAN BESTEIRO,interurban
LA FORTUNA,interurban
LA GRANJA,interurban
LA MORALEJA,interurban
LA RAMBLA,interurban
LAS MUSAS,interurban
LEGANES CENTRAL,interurban
LORANCA,interurban
LOS ESPARTALES,interurban
MANUEL DE FALLA,interurban
MANUELA MALASAÑA,interurban
MARQUES DE LA VALDAVIA,interurban
MONCLOA,interurban
MOSTOLES CENTRAL,interurban
OPAÑEL,interurban
OPORTO,interurban
PALOS DE LA FRONTERA,interurban
PAN BENDITO,interurban
PARQUE EUROPA,interurban
PARQUE LISBOA,interurban
PAVONES,interurban
PLAZA DE CASTILLA,interurban
PLAZA ELIPTICA,interurban
PUERTA DE ARGANDA,interurban
PUERTA DEL SUR,interurban
RIVAS FUTURA,interurban
SAN CIPRIANO,interurban
SAN CRISTOBAL,interurban
VILLAVERDE ALTO,interurban
BATAN,interurban
CONDE DE CASAL,interurban
EMPALME,interurban
EUGENIA DE MONTIJO,interurban
FERIA DE MADRID,interurban
HERRERA ORIA,interurban
LA PESETA,interurban
LA POVEDA,interurban
LEGAZPI,interurban
LUCERO,interurban
MENDEZ ALVARO,interurban
PARQUE DE LAS AVENIDAS,interurban
PARQUE DE LOS ESTADOS,interurban
PARQUE OESTE,interurban
PINAR DE CHAMARTIN,interurban
PRADILLO,interurban
PRINCIPE PIO,interurban
REYES CATOLICOS,interurban
RIVAS URBANIZACIONES,interurban
RIVAS VACIAMADRID,interurban
RONDA DE LA COMUNICACION,interurban
SAN FERMIN-ORCASUR,interurban
SAN FERNANDO,interurban
SAN FRANCISCO,interurban
SAN NICASIO,interurban
SIERRA DE GUADALUPE,interurban
SIMANCAS,interurban
TRES OLIVOS,interurban
UNIVERSIDAD REY JUAN CARLOS,interurban
USERA,interurban
VICALVARO,interurban
VILLAVERDE BAJO CRUCE,interurban
VISTA ALEGRE,interurban
BARAJAS,urban
CUATRO VIENTOS,urban
EL CAPRICHO,urban
EUGENIA DE MONTIJO,urban
LAS ROSAS,urban
MONCLOA,urban
PEÑAGRANDE,urban
PINAR DEL REY,urban
PIO XII,urban
PITIS,urban
PORTAZGO,urban
PROSPERIDAD,urban
PUEBLO NUEVO,urban
PUERTA DEL ANGEL,urban
QUEVEDO,urban
QUINTANA,urban
RIOS ROSAS,urban
RONDA DE LA COMUNICACION,urban
SAINZ DE BARANDA,urban
SAN FRANCISCO,urban
SAN LORENZO,urban
SANTIAGO BERNABEU,urban
SANTO DOMINGO,urban
TIRSO DE MOLINA,urban
TORRE ARIAS,urban
TRES OLIVOS,urban
TRIBUNAL,urban
URGEL,urban
USERA,urban
VALDECARROS,urban
VALDEZARZA,urban
VELAZQUEZ,urban
VENTAS,urban
VENTILLA,urban
VENTURA RODRIGUEZ,urban
VICALVARO,urban
VICENTE ALEIXANDRE,urban
VILLA DE VALLECAS,urban
VILLAVERDE BAJO CRUCE,urban
VINATEROS,urban
VISTA ALEGRE,urban
PIRAMIDES,metro
PUERTA DE TOLEDO,metro
BARAJAS,metro
EL CAPRICHO,metro
AVENIDA DE LA PAZ,metro
PROSPERIDAD,metro
CONSERVATORIO,metro
RUBEN DARIO,metro
TRIBUNAL,metro
LUCERO,metro
PUERTA DEL ANGEL,metro
EMPALME,metro
EUGENIA DE MONTIJO,metro
ESTACION DEL ARTE,metro
TIRSO DE MOLINA,metro
PEÑAGRANDE,metro
VALDEZARZA,metro
MONCLOA,metro
SAN BERNARDO,metro
VENTURA RODRIGUEZ,metro
PARQUE DE LOS ESTADOS,metro
LACOMA,metro
PITIS,metro
VINATEROS,metro
ESPERANZA,metro
CRUZ DEL RAYO,metro
REPUBLICA ARGENTINA,metro
LAS ROSAS,metro
COLONIA JARDIN,metro
PINAR DE CHAMARTIN,metro
RETIRO,metro
PARQUE DE LAS AVENIDAS,metro
VENTILLA,metro
REYES CATOLICOS,metro
PORTAZGO,metro
ISLAS FILIPINAS,metro
TORRE ARIAS,metro
VISTA ALEGRE,metro
LA PESETA,metro
SAN FRANCISCO,metro
JULIAN BESTEIRO,metro
SAN FERMIN-ORCASUR,metro
VILLAVERDE BAJO CRUCE,metro
VICENTE ALEIXANDRE,metro
PINAR DEL REY,metro
PIO XII,metro
SAINZ DE BARANDA,metro
VILLA DE VALLECAS,metro
RIOS ROSAS,metro
SANTIAGO BERNABEU,metro
PALOS DE LA FRONTERA,metro
LISTA,metro
VENTAS,metro
LOS ESPARTALES,metro
QUINTANA,metro
JUAN DE LA CIERVA,metro
TRES OLIVOS,metro
PARQUE EUROPA,metro
SIMANCAS,metro
VELAZQUEZ,metro
HOSPITAL DEL HENARES,metro
MANUELA MALASAÑA,metro
PRADILLO,metro
SAN FERNANDO,metro
RONDA DE LA COMUNICACION,metro
MARQUES DE LA VALDAVIA,metro
RIVAS VACIAMADRID,metro
VALDECARROS,metro
SAN NICASIO,metro
USERA,metro
SAN LORENZO,metro
URGEL,metro
PACO DE LUCIA,metro
UNIVERSIDAD REY JUAN CARLOS,metro
SANTO DOMINGO,metro
PUENTE DE VALLECAS,metro
VALDEACEDERAS,metro
RIVAS URBANIZACIONES,metro
VICALVARO,metro
VILLAVERDE ALTO,metro
